# Name	  Type     Charge   
    C1     CA      1.16334  
    C2     CA     -0.92753  
    C3     CA     -0.92753  
    C4     CA      0.85756  
    C5     CA      0.85756  
    O6     OS     -0.50467  
    C7     CA      0.21792  
    C9     CA     -0.22373  
    C11    CA      0.41686  
    C13    CA     -0.70989  
    H13    HA      0.22787  
    H23    HA      0.10033  
    N15    N2     -0.22267  
    C23    CT     -0.26274  
    H31    H1      0.09433  
    H32    H1      0.09433  
    H33    H1      0.09433  
    C8     CA      0.21792  
    C10    CA     -0.22373  
    C12    CA      0.41686  
    C14    CA     -0.70989  
    H14    HA      0.22787  
    H24    HA      0.10033  
    N16    N2     -0.22267  
    C24    CT     -0.26274  
    H34    H1      0.09433  
    H35    H1      0.09433  
    H36    H1      0.09433  
    C18    CT      0.74133  
    C20    CA     -0.49515  
    C22    CA      0.14637  
    C26    CT     -0.35050  
    C28    CT     -0.35050  
    H48    HA      0.23664  
    H37    HC      0.06825  
    H38    HC      0.06825  
    H39    HC      0.06825  
    H40    HC      0.06825  
    H41    HC      0.06825  
    H42    HC      0.06825  
    C17    CT      0.74133  
    C19    CA     -0.49515  
    C21    CA      0.14637  
    C25    CT     -0.35050  
    C27    CT     -0.35050  
    H47    HA      0.23664  
    H25    HC      0.06825  
    H26    HC      0.06825  
    H27    HC      0.06825  
    H28    HC      0.06825  
    H29    HC      0.06825  
    H30    HC      0.06825  
    C29    CT     -0.33697  
    S31    S       1.46123  
    O33    O      -0.77368  
    O35    O      -0.77368  
    O37    O      -0.77368  
    H45    H1      0.11453  
    H46    H1      0.11453  
    C30    CT     -0.33697  
    S32    S       1.46123  
    O34    O      -0.77368  
    O36    O      -0.77368  
    O38    O      -0.77368  
    H43    H1      0.11453  
    H44    H1      0.11453  
    C45    CA     -0.08610  
    C46    CA     -0.20485  
    C47    CA     -0.11198  
    C48    CA     -0.11000  
    C49    CA     -0.20005  
    H56    HA      0.08883  
    H57    HA      0.14252  
    H59    HA      0.15404  
    C50    CA     -0.02716  
    C51    C       0.71568  
    O52    O      -0.73674  
    O53    O      -0.73674  
    CI     C       0.70    
    OI     O      -0.75    
    OJ     O      -0.75    
